Date,S,I,R,D,p_SI,p_IR,p_ID
2020-03-02,265185518,2,0,0,7.541889976058196e-09,0.0,0.0
2020-03-03,265185518,2,0,0,0.0,0.0,0.0
2020-03-04,265185518,2,0,0,0.0,0.0,0.0
2020-03-05,265185518,2,0,0,0.0,0.0,0.0
2020-03-06,265185516,4,0,0,7.5418900329383e-09,0.0,0.0
2020-03-07,265185516,4,0,0,0.0,0.0,0.0
2020-03-08,265185514,6,0,0,7.541890089818405e-09,0.0,0.0
2020-03-09,265185501,19,0,0,4.902228798700424e-08,0.0,0.0
2020-03-10,265185493,25,2,0,3.016756274823827e-08,0.08,0.0
2020-03-11,265185486,31,2,1,2.6396618101489915e-08,0.0,0.03225806451612903
2020-03-12,265185486,31,2,1,0.0,0.0,0.0
2020-03-13,265185451,63,2,4,1.3198310792698806e-07,0.0,0.047619047619047616
2020-03-14,265185424,83,8,5,1.0181555076722467e-07,0.07228915662650602,0.012048192771084338
2020-03-15,265185403,104,8,5,7.918987908998897e-08,0.0,0.0
2020-03-16,265185386,121,8,5,6.410609670624912e-08,0.0,0.0
2020-03-17,265185348,158,9,5,1.4329600140653322e-07,0.006329113924050633,0.0
2020-03-18,265185293,197,11,19,2.074021503145727e-07,0.01015228426395939,0.07106598984771574
2020-03-19,265185211,269,15,25,3.092178469937375e-07,0.01486988847583643,0.022304832713754646
2020-03-20,265185151,320,17,32,2.2625701240715397e-07,0.00625,0.021875
2020-03-21,265185070,392,20,38,3.0544706004753586e-07,0.007653061224489796,0.015306122448979591
2020-03-22,265185006,437,29,48,2.4134094519657724e-07,0.020594965675057208,0.02288329519450801
2020-03-23,265184941,500,30,49,2.451119575451307e-07,0.002,0.002
2020-03-24,265184835,600,30,55,3.9972119823518567e-07,0.0,0.01
2020-03-25,265184730,701,31,58,3.9595040031151115e-07,0.0014265335235378032,0.0042796005706134095
2020-03-26,265184627,780,35,78,3.884086387858373e-07,0.005128205128205128,0.02564102564102564
2020-03-27,265184474,913,46,87,5.769568545706036e-07,0.012048192771084338,0.009857612267250822
2020-03-28,265184365,994,59,102,4.110347908331624e-07,0.013078470824949699,0.015090543259557344
2020-03-29,265184235,1107,64,114,4.902252202134112e-07,0.004516711833785004,0.01084010840108401
2020-03-30,265184106,1217,75,122,4.864544936188596e-07,0.009038619556285949,0.00657354149548069
2020-03-31,265183992,1311,81,136,4.298902024221734e-07,0.004576659038901602,0.010678871090770405
2020-04-01,265183843,1417,103,157,5.618743522017666e-07,0.015525758645024701,0.014820042342978124
2020-04-02,265183730,1508,112,170,4.261196567376136e-07,0.005968169761273209,0.008620689655172414
2020-04-03,265183534,1671,134,181,7.391107473513042e-07,0.013165769000598444,0.006582884500299222
2020-04-04,265183428,1751,150,191,3.9972331906049573e-07,0.009137635636778984,0.0057110222729868645
2020-04-05,265183247,1911,164,198,6.825468880392735e-07,0.007326007326007326,0.003663003663003663
2020-04-06,265183029,2090,192,209,8.220737232773671e-07,0.013397129186602871,0.005263157894736842
2020-04-07,265182782,2313,204,221,9.314330219222152e-07,0.005188067444876783,0.005188067444876783
2020-04-08,265182564,2494,222,240,8.220751647910004e-07,0.007217321571772253,0.007618283881315156
2020-04-09,265182227,2761,252,280,1.2708242321232185e-06,0.010865628395508874,0.014487504527345164
2020-04-10,265182008,2924,282,306,8.258478833149193e-07,0.010259917920656635,0.008891928864569083
2020-04-11,265181678,3229,286,327,1.2444298659276151e-06,0.0012387736141220192,0.006503561474140601
2020-04-12,265181279,3509,359,373,1.5046311018056444e-06,0.02080364776289541,0.01310914790538615
2020-04-13,265180963,3778,380,399,1.1916390845899447e-06,0.00555849655902594,0.006881948120698782
2020-04-14,265180681,3954,426,459,1.063425883577092e-06,0.01163378856853819,0.015174506828528073
2020-04-15,265180384,4221,446,469,1.1199923445317885e-06,0.004738213693437574,0.002369106846718787
2020-04-16,265180004,4472,548,496,1.4329888915757011e-06,0.022808586762075134,0.006037567084078712
2020-04-17,265179597,4796,607,520,1.5348088789802332e-06,0.012301918265221017,0.0050041701417848205
2020-04-18,265179272,5082,631,535,1.2255859877313488e-06,0.004722550177095631,0.0029515938606847697
2020-04-19,265178945,5307,686,582,1.233129575954833e-06,0.010363670623704541,0.008856227623892972
2020-04-20,265178760,5423,747,590,6.976426015416921e-07,0.011248386501936198,0.0014751982297621243
2020-04-21,265178385,5677,842,616,1.41414240832638e-06,0.016734190593623393,0.004579883741412718
2020-04-22,265178102,5870,913,635,1.0672072764137968e-06,0.012095400340715502,0.0032367972742759796
2020-04-23,265177745,6168,960,647,1.3462668219009103e-06,0.007619974059662775,0.0019455252918287938
2020-04-24,265177309,6520,1002,689,1.6441829115929373e-06,0.006441717791411043,0.006441717791411043
2020-04-25,265176913,6845,1042,720,1.4933426727084647e-06,0.005843681519357195,0.004528853177501826
2020-04-26,265176638,7032,1107,743,1.0370445981745949e-06,0.009243458475540386,0.003270762229806598
2020-04-27,265176424,7180,1151,765,8.070099022075959e-07,0.006128133704735376,0.003064066852367688
2020-04-28,265176009,7484,1254,773,1.5649982876090424e-06,0.013762693746659541,0.0010689470871191875
2020-04-29,265175749,7596,1391,784,9.804818162312422e-07,0.01803580832016851,0.0014481305950500263
2020-04-30,265175402,7804,1522,792,1.3085678286253714e-06,0.016786263454638645,0.0010251153254741158
2020-05-01,265174969,8160,1591,800,1.6328841354554848e-06,0.008455882352941176,0.000980392156862745
2020-05-02,265174677,8347,1665,831,1.101160952861272e-06,0.008865460644542949,0.0037139091889301546
2020-05-03,265174328,8471,1876,845,1.316115336775738e-06,0.02490851139180734,0.0016526974383189706
2020-05-04,265173933,8769,1954,864,1.489588345020323e-06,0.008894970920287376,0.0021667236857110276
2020-05-05,265173449,9002,2197,872,1.8252204427902584e-06,0.0269940013330371,0.0008886914019106865
2020-05-06,265173082,9226,2317,895,1.3840017140201281e-06,0.013006720138738348,0.0024929546932581834
2020-05-07,265172744,9465,2381,930,1.274640805466794e-06,0.0067617538298996305,0.0036978341257263604
2020-05-08,265172408,9675,2494,943,1.2671001577207837e-06,0.011679586563307493,0.0013436692506459949
2020-05-09,265171875,10079,2607,959,2.010017087973602e-06,0.011211429705327909,0.001587459073320766
2020-05-10,265171488,10361,2698,973,1.459432923648262e-06,0.00878293601003764,0.0013512209246211756
2020-05-11,265171255,10393,2881,991,8.786774418667664e-07,0.017608005388242087,0.001731934956220533
2020-05-12,265170771,10679,3063,1007,1.8252388759694785e-06,0.017042794269126322,0.0014982676280550613
2020-05-13,265170082,11123,3287,1028,2.5983323412782292e-06,0.020138451856513532,0.0018879798615481435
2020-05-14,265169514,11445,3518,1043,2.142026024907222e-06,0.02018348623853211,0.001310615989515072
2020-05-15,265169024,11617,3803,1076,1.8478779783870986e-06,0.02453301196522338,0.0028406645433416543
2020-05-16,265168495,12025,3911,1089,1.9949579605978455e-06,0.008981288981288981,0.001081081081081081
2020-05-17,265168006,12237,4129,1148,1.8441138785046339e-06,0.017814823894745445,0.004821443164174225
2020-05-18,265167510,12495,4324,1191,1.8705157355062088e-06,0.015606242496998799,0.003441376550620248
2020-05-19,265167024,12808,4467,1221,1.8328070838853627e-06,0.011164896939412867,0.0023422860712054966
2020-05-20,265166331,13372,4575,1242,2.613453968256626e-06,0.00807657792402034,0.0015704457074483997
2020-05-21,265165358,14046,4838,1278,3.66940843004085e-06,0.018724191940766053,0.0025630072618539087
2020-05-22,265164724,14413,5057,1326,2.3909666053467956e-06,0.015194615971692223,0.0033303267883161036
2020-05-23,265163775,15145,5249,1351,3.578920235239523e-06,0.012677451304060746,0.001650709805216243
2020-05-24,265163249,15497,5402,1372,1.983683643882339e-06,0.00987287862166871,0.001355100987287862
2020-05-25,265162770,15717,5642,1391,1.8064376081151965e-06,0.015270089711777056,0.0012088821021823504
2020-05-26,265162355,15870,5877,1418,1.5650788740354941e-06,0.014807813484562067,0.0017013232514177694
2020-05-27,265161669,16321,6057,1473,2.5871009282265455e-06,0.011028735984314687,0.003369891550762821
2020-05-28,265160982,16802,6240,1496,2.5908789250146915e-06,0.010891560528508511,0.0013688846565885014
2020-05-29,265160304,17204,6492,1520,2.5569438176537918e-06,0.014647756335735876,0.0013950244129272262
2020-05-30,265159747,17185,7015,1573,2.1006204987818155e-06,0.030433517602560373,0.0030840849578120453
2020-05-31,265159047,17552,7308,1613,2.6399250107427033e-06,0.016693254329990883,0.0022789425706472195
2020-06-01,265158580,17662,7637,1641,1.7612102161657374e-06,0.018627561997508774,0.0015853244253198958
2020-06-02,265157971,17951,7935,1663,2.2967440794001247e-06,0.016600746476519414,0.001225558464709487
